team1,team2,winner
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
Mumbai Indians,Delhi Daredevils,Mumbai Indians
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
Mumbai Indians,Rajasthan Royals,Mumbai Indians
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,Chennai Super Kings
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
Mumbai Indians,Kings XI Punjab,Kings XI Punjab
Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
Rajasthan Royals,Mumbai Indians,Rajasthan Royals
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Chennai Super Kings
Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
Delhi Daredevils,Mumbai Indians,Delhi Daredevils
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
Royal Challengers Bangalore,Rajasthan Royals,
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
Mumbai Indians,Rajasthan Royals,Mumbai Indians
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad
Kings XI Punjab,Mumbai Indians,Mumbai Indians
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
Mumbai Indians,Delhi Daredevils,Mumbai Indians
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
Chennai Super Kings,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
Royal Challengers Bangalore,Delhi Daredevils,
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
Chennai Super Kings,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
Mumbai Indians,Chennai Super Kings,Mumbai Indians
Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
Kings XI Punjab,Gujarat Lions,Gujarat Lions
Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Gujarat Lions,Rising Pune Supergiants,Gujarat Lions
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
Mumbai Indians,Gujarat Lions,Gujarat Lions
Kings XI Punjab,Rising Pune Supergiants,Kings XI Punjab
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad
Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore
Delhi Daredevils,Mumbai Indians,Delhi Daredevils
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions
Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders
Kings XI Punjab,Mumbai Indians,Mumbai Indians
Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants
Delhi Daredevils,Gujarat Lions,Gujarat Lions
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
Rising Pune Supergiants,Gujarat Lions,Gujarat Lions
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
Gujarat Lions,Kings XI Punjab,Kings XI Punjab
Rising Pune Supergiants,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
Gujarat Lions,Delhi Daredevils,Delhi Daredevils
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants
Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad
Royal Challengers Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
Rising Pune Supergiants,Sunrisers Hyderabad,Sunrisers Hyderabad
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils
Mumbai Indians,Kings XI Punjab,Kings XI Punjab
Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore
Kolkata Knight Riders,Rising Pune Supergiants,Kolkata Knight Riders
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
Mumbai Indians,Delhi Daredevils,Mumbai Indians
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
Rising Pune Supergiants,Delhi Daredevils,Rising Pune Supergiants
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
Gujarat Lions,Kolkata Knight Riders,Gujarat Lions
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils
Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants
Gujarat Lions,Mumbai Indians,Gujarat Lions
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad
Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant
Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders
Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
Gujarat Lions,Rising Pune Supergiant,Gujarat Lions
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils
Mumbai Indians,Gujarat Lions,Mumbai Indians
Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
Kings XI Punjab,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions
Mumbai Indians,Delhi Daredevils,Mumbai Indians
Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant
Gujarat Lions,Kings XI Punjab,Kings XI Punjab
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant
Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders
Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant
Gujarat Lions,Mumbai Indians,Mumbai Indians
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils
Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant
Delhi Daredevils,Gujarat Lions,Delhi Daredevils
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant
Delhi Daredevils,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
Kings XI Punjab,Gujarat Lions,Gujarat Lions
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
Gujarat Lions,Delhi Daredevils,Delhi Daredevils
Mumbai Indians,Kings XI Punjab,Kings XI Punjab
Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
Mumbai Indians,Rising Pune Supergiant,Mumbai Indians
Mumbai Indians,Chennai Super Kings,Chennai Super Kings
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
Mumbai Indians,Delhi Daredevils,Delhi Daredevils
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
Rajasthan Royals,Mumbai Indians,Rajasthan Royals
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
Chennai Super Kings,Mumbai Indians,Mumbai Indians
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
Kings XI Punjab,Mumbai Indians,Mumbai Indians
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
Mumbai Indians,Rajasthan Royals,Rajasthan Royals
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
Mumbai Indians,Kings XI Punjab,Mumbai Indians
Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
Delhi Daredevils,Mumbai Indians,Delhi Daredevils
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
Mumbai Indians,Delhi Capitals,Delhi Capitals
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab
Delhi Capitals,Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
Kings XI Punjab,Mumbai Indians,Kings XI Punjab
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
Kings XI Punjab,Delhi Capitals,Kings XI Punjab
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Mumbai Indians
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
Mumbai Indians,Kings XI Punjab,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
Mumbai Indians,Rajasthan Royals,Rajasthan Royals
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad
Delhi Capitals,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
Rajasthan Royals,Mumbai Indians,Rajasthan Royals
Delhi Capitals,Kings XI Punjab,Delhi Capitals
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
Rajasthan Royals,Delhi Capitals,Delhi Capitals
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Mumbai Indians
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
Royal Challengers Bangalore,Rajasthan Royals,
Chennai Super Kings,Delhi Capitals,Chennai Super Kings
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
Delhi Capitals,Rajasthan Royals,Delhi Capitals
Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
Mumbai Indians,Chennai Super Kings,Mumbai Indians
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
Chennai Super Kings,Delhi Capitals,Chennai Super Kings
Mumbai Indians,Chennai Super Kings,Mumbai Indians
Mumbai Indians,Chennai Super Kings,Chennai Super Kings
Delhi Capitals,Kings XI Punjab,Delhi Capitals
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
Delhi Capitals,Rajasthan Royals,Delhi Capitals
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
Mumbai Indians,Kings XI Punjab,Mumbai Indians
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
Chennai Super Kings,Delhi Capitals,Delhi Capitals
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
Mumbai Indians,Rajasthan Royals,Mumbai Indians
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad
Mumbai Indians,Kings XI Punjab,Kings XI Punjab
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Mumbai Indians,Mumbai Indians
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
Delhi Capitals,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
Delhi Capitals,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
Delhi Capitals,Chennai Super Kings,Delhi Capitals
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
Mumbai Indians,Rajasthan Royals,Rajasthan Royals
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
Delhi Capitals,Rajasthan Royals,Delhi Capitals
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
Delhi Capitals,Kings XI Punjab,Kings XI Punjab
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
Mumbai Indians,Delhi Capitals,Mumbai Indians
Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
Delhi Capitals,Mumbai Indians,Mumbai Indians
